Sample   ,Channel1  ,Channel2  ,Channel3  ,Channel4  , Timestamp
      185,0.683     ,0.00      ,0.269     ,0.0347    ,     10000
      186,0.825     ,1.59      ,0.204     ,0.0358    ,     10000
      187,0.667     ,-0.79     ,0.256     ,0.0369    ,     10000
      188,1.032     ,-0.99     ,0.384     ,0.0598    ,     10000
      189,0.810     ,0.60      ,0.230     ,0.0500    ,     10000
      190,0.778     ,2.78      ,0.320     ,0.0565    ,     10000
      191,0.635     ,0.79      ,0.281     ,0.0347    ,     10000
      192,0.587     ,-0.60     ,0.307     ,0.0424    ,     10000
      193,0.571     ,0.99      ,0.397     ,0.0424    ,     10000
      194,0.540     ,-1.98     ,0.230     ,0.0217    ,     10000
      195,0.825     ,-2.58     ,0.410     ,0.0543    ,     10000
      196,0.683     ,4.17      ,0.191     ,0.0565    ,     10000
      197,0.984     ,0.40      ,0.371     ,0.0674    ,     10000
      198,0.825     ,0.79      ,0.191     ,0.0369    ,     10000
      199,0.825     ,0.99      ,0.243     ,0.0456    ,     10000
      200,0.540     ,0.99      ,0.436     ,0.0315    ,     10000
      201,0.698     ,-0.40     ,0.243     ,0.0478    ,     10000
      202,0.730     ,0.20      ,0.140     ,0.0434    ,     10000
      203,0.905     ,3.17      ,0.191     ,0.0467    ,     10000
      204,0.952     ,2.78      ,0.153     ,0.0424    ,     10000
      205,0.873     ,4.17      ,0.127     ,0.0467    ,     10000
      206,0.762     ,3.37      ,0.243     ,0.0434    ,     10000
      207,0.968     ,-1.59     ,0.127     ,0.0369    ,     10000
      208,0.778     ,0.00      ,0.371     ,0.0456    ,     10000
      209,0.794     ,-0.40     ,0.256     ,0.0434    ,     10000
      210,0.508     ,1.19      ,0.269     ,0.0369    ,     10000
      211,0.714     ,-1.79     ,0.359     ,0.0304    ,     10000
      212,0.730     ,0.60      ,0.371     ,0.0413    ,     10000
      213,1.016     ,1.19      ,0.346     ,0.0478    ,     10000
      214,0.841     ,-0.79     ,0.294     ,0.0565    ,     10000
      215,0.571     ,1.79      ,0.371     ,0.0489    ,     10000
      216,0.508     ,-2.58     ,0.500     ,0.0445    ,     10000
      217,0.460     ,-2.18     ,0.217     ,0.0434    ,     10000
      218,0.714     ,-1.59     ,0.076     ,0.0478    ,     10000
      219,0.619     ,0.00      ,0.371     ,0.0380    ,     10000
      220,0.889     ,3.77      ,0.500     ,0.0467    ,     10000
      221,0.825     ,-0.40     ,0.307     ,0.0630    ,     10000
      222,0.873     ,3.17      ,0.384     ,0.0565    ,     10000
      223,0.778     ,2.58      ,0.153     ,0.0500    ,     10000
      224,0.508     ,0.60      ,0.384     ,0.0445    ,     10000
      225,0.810     ,-0.40     ,0.140     ,0.0424    ,     10000
      226,0.873     ,0.99      ,0.281     ,0.0402    ,     10000
      227,0.762     ,2.18      ,0.127     ,0.0380    ,     10000
      228,0.921     ,-0.60     ,0.397     ,0.0576    ,     10000
      229,0.937     ,0.40      ,0.217     ,0.0521    ,     10000
      230,0.714     ,0.99      ,0.166     ,0.0608    ,     10000
      231,0.841     ,0.99      ,0.101     ,0.0587    ,     10000
      232,0.444     ,-2.18     ,0.217     ,0.0456    ,     10000
      233,0.714     ,-0.99     ,0.307     ,0.0456    ,     10000
      234,0.746     ,1.19      ,0.230     ,0.0456    ,     10000
      235,0.667     ,0.20      ,0.294     ,0.0402    ,     10000
